"取引日時","通貨","取引種別","取引価格","通貨1","通貨1数量","手数料","通貨1の対円レート","通貨2","通貨2数量","手数料(JPY)","課税区分","自己・媒介","注文 ID","備考"
"2017/10/27 23:16:59","BTC","手数料","0","BTC","-0.0004","0","652,001","","0","","","","CWD20171027-141659-269169F",""
"2017/10/27 23:16:59","BTC","外部送付","0","BTC","-0.01860297","0","652,001","","0","","","","CWD20171027-141659-269169",""
"2017/10/25 14:19:18","BTC","手数料","0","BTC","-0.0004","0","616,930","","0","","","","CWD20171025-051918-532791F",""
"2017/10/25 14:19:18","BTC","外部送付","0","BTC","-0.10693325","0","616,930","","0","","","","CWD20171025-051918-532791",""
"2017/10/25 14:15:58","BTC/JPY","買い","613,557","BTC","0.1","-0.00005","613,557","JPY","-61,356","","","媒介","JOR20171025-051558-854938",""
"2017/10/22 00:29:14","BTC","受取","0","BTC","0.000005","0","679,898","","0","","","","REC20171021-152914-249878","bitFlyer Login Bonus(2017/10/22)"
"2017/10/13 16:16:02","BTC/JPY","売り","629,000","BTC","-0.04","-0.000028","629,000","JPY","25,160","","","媒介","JOR20171013-071444-662137",""
"2017/10/11 19:13:13","BTC/JPY","売り","541,000","BTC","-0.04","-0.000028","541,000","JPY","21,640","","","自己","JOR20171011-045531-759707",""
"2017/10/08 22:27:41","BTC/JPY","売り","500,000","BTC","-0.01","-0.000009","500,000","JPY","5,000","","","媒介","JOR20170928-093237-798646",""
"2017/09/22 08:06:11","BTC","預入","0","BTC","0.10150408","0","403,953","","0","","","","CDP20170921-230610-458998",""
"2017/09/19 01:19:18","BTC","受取","0","BTC","0.000005","0","440,400","","0","","","","REC20170918-161918-587798","bitFlyer Login Bonus(2017/09/19)"
"2017/09/15 22:28:41","BTC/JPY","買い","410,697","BTC","0.0486977","0","410,697","JPY","-20,000","","","自己","GUC20170915-132841-525418",""
"2017/09/15 22:28:41","JPY","入金","0","JPY","20,000","0","0","","0","","","","MDC20170915-132841-525402",""
"2017/09/15 07:02:39","JPY","入金","0","JPY","10,000","0","0","","0","","","","MDP20170914-220239-858324",""
"2017/09/12 02:10:21","BTC","受取","0","BTC","0.000005","0","467,006","","0","","","","REC20170911-171021-751929","bitFlyer Login Bonus(2017/09/12)"
"2017/08/31 02:22:09","BTC","手数料","0","BTC","-0.0005","0","521,001","","0","","","","CWD20170830-172209-352536F",""
"2017/08/31 02:22:09","BTC","外部送付","0","BTC","-0.002","0","521,001","","0","","","","CWD20170830-172209-352536",""
"2017/08/31 02:14:12","BTC/JPY","買い","503,396","BTC","0.001","-0.000001","503,396","JPY","-504","","","媒介","JOR20170830-171222-698304",""
"2017/08/31 02:07:10","BTC/JPY","買い","503,855","BTC","0.0018","-0.0000018","503,855","JPY","-907","","","自己","JOR20170830-170558-678621",""
"2017/08/31 02:03:17","BTC","受取","0","BTC","0.000005","0","521,001","","0","","","","REC20170830-170317-293854","bitFlyer Login Bonus(2017/08/31)"
"2017/08/29 01:25:00","BTC","受取","0","BTC","0.000005","0","488,302","","0","","","","REC20170828-162500-916156","bitFlyer Login Bonus(2017/08/29)"
"2017/08/18 21:27:33","JPY","証拠金預入","0","JPY","-750,000","0","0","","0","","","","POC20170818-122733-124983",""
"2017/08/18 15:31:57","BTC/JPY","売り","473,210","BTC","-0.09970112","-0.00014955","473,210","JPY","47,179","","","媒介","JOR20170818-063157-519932",""
"2017/08/18 15:20:56","BTC/JPY","買い","473,050","BTC","0.06","-0.00009","473,050","JPY","-28,383","","","媒介","JOR20170818-062056-484434",""
"2017/08/18 15:20:56","BTC/JPY","買い","473,080","BTC","0.04","-0.00006","473,080","JPY","-18,924","","","媒介","JOR20170818-062056-484434",""
"2017/08/18 15:16:29","BTC/JPY","売り","473,001","BTC","-0.00486108","-0.0000073","473,001","JPY","2,300","","","媒介","JOR20170818-061628-469814",""
"2017/08/18 15:16:29","BTC/JPY","売り","473,020","BTC","-0.00003743","-0.00000006","473,020","JPY","18","","","媒介","JOR20170818-061628-469814",""
"2017/08/18 15:16:29","BTC/JPY","売り","473,000","BTC","-0.08367722","-0.0001255","473,000","JPY","39,579","","","媒介","JOR20170818-061628-469814",""
"2017/08/18 15:16:28","BTC/JPY","売り","473,083","BTC","-0.01082427","-0.00001624","473,083","JPY","5,121","","","媒介","JOR20170818-061628-469814",""
"2017/08/18 15:02:29","BTC/JPY","売り","474,185","BTC","-0.1","-0.00015","474,185","JPY","47,418","","","媒介","JOR20170818-060228-427685",""
"2017/08/18 14:57:09","BTC/JPY","買い","473,248","BTC","0.05597992","-0.00008396","473,248","JPY","-26,493","","","媒介","JOR20170818-055709-412921",""
"2017/08/18 14:57:09","BTC/JPY","買い","473,248","BTC","0.05701806","-0.00008553","473,248","JPY","-26,983","","","媒介","JOR20170818-055709-412921",""
"2017/08/18 14:57:09","BTC/JPY","買い","472,985","BTC","0.08700202","-0.00013051","472,985","JPY","-41,150","","","媒介","JOR20170818-055709-412921",""
"2017/08/18 14:51:57","JPY","手数料","0","JPY","-324","0","0","","0","","","","MDP20170818-055157-061204F",""
"2017/08/18 14:51:57","JPY","入金","0","JPY","800,324","0","0","","0","","","","MDP20170818-055157-061204",""
