id,timestamp,pair,side,type,price,executedPrice,triggerPrice,requestedAmount,filledAmount,tradingFee,feeCurrency,status,orderId
179498858,2026-02-17 01:39:13.159,NEXO/USDT,sell,market,0.89453786,0.89453786,,580.0,580.00000000,0.7263647440000000,USDT,completed,78354b75-f8d1-48da-be0d-048958d25771
179051818,2026-02-12 12:03:51.667,NEXO/USDT,sell,market,0.80988852,0.80988852,,1419.13,1419.13000000,1.6090719260000000,USDT,completed,c2acfb9f-9fc6-4c30-a24a-10bd66d7407d
178273532,2026-02-05 23:32:00.311,NEXO/USDT,buy,market,0.68702919,0.68702919,,2000.0,2000.00000000,1.4000000000000000,NEXO,completed,2be43787-244d-4b17-9c2f-9c4625ffe2e0
178273306,2026-02-05 23:30:05.504,SOL/USDT,sell,market,79.93487698,79.93487698,,231.05,231.05000000,19.0738674073325465,NEXO,completed,0971bf65-a246-48b0-90d5-df481d64dea5
177592129,2026-02-01 22:26:15.635,NEXO/USDT,buy,market,0.80497536,0.80497536,,2000.0,2000.00000000,1.4000000000000000,NEXO,completed,55056856-6b00-4e6f-a9e6-50c42a78c03a
176478643,2026-01-23 06:00:16.709,NEXO/USDT,buy,market,0.93703503,0.93703503,,479.06,479.06000000,0.3353420000000000,NEXO,completed,b8eaaf50-6d02-4f47-a48a-2426501b3ff1
176476722,2026-01-23 05:15:12.107,NEXO/USDT,buy,market,0.94700000,0.94700000,,179.29,179.29000000,0.1255030000000000,NEXO,completed,6171d4c0-3fe7-4e46-812e-5fb25f3c541b
176476591,2026-01-23 05:11:00.533,SOL/USDT,sell,market,128.82104000,128.82104000,,49.2,49.20000000,4.6844014545454545,NEXO,completed,911ed7d1-5ef9-4cb8-ba7b-1e5adf6a482e
176143243,2026-01-20 00:44:57.548,USDC/USDT,buy,market,1.00060000,1.00060000,,14000.0,14000.00000000,11.6877438197559195,NEXO,completed,e84c94d1-77da-44c0-81b8-8a75b2e6a73e
176143207,2026-01-20 00:44:18.413,NEXO/USDT,buy,market,0.95831076,0.95831076,,3000.0,3000.00000000,2.4000000000000000,NEXO,completed,0fe012c5-0e3d-45e2-81f9-6808affd55a9
176143182,2026-01-20 00:43:39.02,SOL/USDT,sell,market,133.77609000,133.77609000,,260.2,260.20000000,29.1132576000000000,NEXO,completed,b8b6ec35-5705-4eba-b147-9f2be601c3e0
176039560,2026-01-19 04:20:50.5,BTC/USDC,buy,market,92580.88000000,92580.88000000,,0.006,0.00600000,0.4639032810201255,NEXO,completed,fb4ddb83-edda-4228-8418-e21754398135
176037928,2026-01-19 03:12:55.557,NEXO/USDT,buy,market,0.95775958,0.95775958,,3650.7,3650.70000000,2.9205600000000000,NEXO,completed,2cc9d7d1-d953-433f-aa49-7458980c746d
176037816,2026-01-19 03:09:28.892,USDC/USDT,buy,market,1.00040000,1.00040000,,15800.0,15800.00000000,14.8727846909965492,NEXO,completed,e68f0f1c-f284-4f69-9246-57a6479986b5
176037778,2026-01-19 03:06:42.47,NEXO/USDT,buy,market,0.95700000,0.95700000,,500.0,500.00000000,0.4500000000000000,NEXO,completed,da7402e2-47a0-4c80-9fef-9ed7afae38b9
176037697,2026-01-19 03:02:36.507,SOL/USDT,sell,market,133.63934341,133.63934341,,236.0,236.00000000,32.9835652002719084,NEXO,completed,638680e6-6d47-4c24-9ec6-1487a672ed01
175434438,2026-01-13 00:21:59.725,NEXO/USDT,sell,market,0.95600000,0.95600000,,198.59,198.59000000,0.3797040800000000,USDT,completed,71a18360-32cc-45a6-8114-043d67befbb0
175433847,2026-01-13 00:00:57.347,USDC/USDT,buy,market,1.00110000,1.00110000,,1347.0,1347.00000000,1.4046804542613044,NEXO,completed,d98a8088-24af-4955-a177-b3a90c6f5332
174684455,2026-01-05 11:22:47.535,USDC/USDT,buy,market,1.00050000,1.00050000,,375.0,375.00000000,0.3951869897287332,NEXO,completed,8f401d8d-d10a-4aff-a39d-87abe616bf96
174684144,2026-01-05 11:20:01.849,NEXO/USDT,sell,market,0.95800000,0.95800000,,697.0,697.00000000,1.3354520000000000,USDT,completed,4f04cf81-8304-49e8-af01-619d02f6104e
